filename,num_tokens,token_min,token_max
Guns_n_Roses_-_Welcome_to_the_Jungle_Percussion_part3.mid,1442,35,60
Guns_n_Roses_-_Welcome_to_the_Jungle_Sampler_part9.mid,416,58,87
Guns_n_Roses_-_You_Could_Be_Mine_Electric_Bass_part3.mid,1638,28,50
Guns_n_Roses_-_You_Could_Be_Mine_Electric_Guitar_part0.mid,1277,30,83
Guns_n_Roses_-_You_Could_Be_Mine_Electric_Guitar_part1.mid,512,47,75
Guns_n_Roses_-_You_Could_Be_Mine_Electric_Guitar_part2.mid,1774,40,73
Guns_n_Roses_-_You_Could_Be_Mine_Electric_Guitar_part5.mid,414,54,79
Guns_n_Roses_-_You_Could_Be_Mine_part_4_part4.mid,2320,35,60
Guns_n_Roses_-_You_Could_Be_Mine_Sampler_part6.mid,167,57,69
Limp_Bizkit_-_Stuck_Electric_Bass_part0.mid,922,26,53
Limp_Bizkit_-_Stuck_Electric_Guitar_part2.mid,1550,38,63
Limp_Bizkit_-_Stuck_part_1_part1.mid,2037,35,60
Nirvana_-_About_A_Girl_Brass_part3.mid,179,60,70
Nirvana_-_About_A_Girl_Chris_Novoselic_-Bass-_part1.mid,542,28,38
Nirvana_-_About_A_Girl_Electric_Guitar_part5.mid,1963,40,68
Nirvana_-_About_A_Girl_Kurdt_Kobain_-Guitar_Ryth_part0.mid,1963,40,68
Nirvana_-_About_A_Girl_Kurdt_Kobain_-Lead_Guitar-_part4.mid,198,41,65
Nirvana_-_About_A_Girl_Percussion_part2.mid,1269,35,60
Nirvana_-_Breed_Electric_Bass_part2.mid,649,28,38
Nirvana_-_Breed_Electric_Guitar_part0.mid,1979,40,76
Nirvana_-_Breed_Electric_Guitar_part1.mid,284,60,66
Nirvana_-_Breed_Percussion_part3.mid,1230,36,60
Nirvana_-_Come_As_You_Are_Baritone_Saxophone_part1.mid,250,54,68
Nirvana_-_Come_As_You_Are_Electric_Bass_part4.mid,688,28,40
Nirvana_-_Come_As_You_Are_Electric_Guitar_part2.mid,1160,40,71
Nirvana_-_Come_As_You_Are_Electric_Guitar_part3.mid,387,47,80
Nirvana_-_Come_As_You_Are_Percussion_part0.mid,1579,36,60
Nirvana_-_In_Bloom_bass-_Krist_part2.mid,975,27,39
Nirvana_-_In_Bloom_Electric_Guitar_part3.mid,301,46,67
Nirvana_-_In_Bloom_guitar_1-_Kurt_part0.mid,2356,39,71
Nirvana_-_In_Bloom_Percussion_part1.mid,1622,36,57
Nirvana_-_Lithium_bass-_Krist_part4.mid,642,28,48
Nirvana_-_Lithium_Electric_Guitar_part2.mid,406,52,67
Nirvana_-_Lithium_guitar_1-_Kurt_part0.mid,438,40,66
Nirvana_-_Lithium_guitar_2-_Kurt_part1.mid,1217,40,62
Nirvana_-_Lithium_Percussion_part3.mid,1506,36,60
Nirvana_-_Paper_Cuts_Electric_Bass_part3.mid,630,27,34
Nirvana_-_Paper_Cuts_Electric_Guitar_part0.mid,1815,39,58
Nirvana_-_Paper_Cuts_Electric_Guitar_part1.mid,204,61,70
Nirvana_-_Paper_Cuts_Percussion_part2.mid,1203,36,60
Nirvana_-_School_Electric_Bass_part3.mid,595,26,36
Nirvana_-_School_Electric_Guitar_part0.mid,950,38,60
Nirvana_-_School_Electric_Guitar_part1.mid,184,50,59
Nirvana_-_School_Percussion_part2.mid,1296,36,60
Nirvana_-_Scoff_Electric_Bass_part3.mid,830,26,39
Nirvana_-_Scoff_Electric_Guitar_part0.mid,2280,40,71
Nirvana_-_Scoff_Electric_Guitar_part1.mid,258,48,57
Nirvana_-_Scoff_Percussion_part2.mid,2023,36,49
Nirvana_-_Sifting_Choir_part0.mid,265,57,71
Nirvana_-_Sifting_Chris_Novoselic_-Bass-_part2.mid,641,28,43
Nirvana_-_Sifting_Kurt_Cobain_-Dist_Guitar-_part1.mid,1243,40,60
Nirvana_-_Sifting_Percussion_part3.mid,3281,36,60
Nirvana_-_Something_In_The_Way_bass_part3.mid,218,24,28
Nirvana_-_Something_In_The_Way_cello_part6.mid,148,36,59
Nirvana_-_Something_In_The_Way_Clarinet_part1.mid,280,43,64
Nirvana_-_Something_In_The_Way_guitar_1_part0.mid,781,36,55
Nirvana_-_Something_In_The_Way_guitar_2_part4.mid,325,36,55
